車両ID-01,車両ID-02,車両ID-03,車両ID-04,車両ID-05,車両ID-06,車両ID-07,車両ID-08,車両ID-09,車両ID-10,車両ID-11,車両ID-12,車両ID-13,車両ID-14,日付,スタンプ,記述
70-05,70-08,,,,,,,,,,,,,2005/03/15,joto,JR東日本に譲渡。
70-05,209-3101,209-3102,70-08,,,,,,,,,,,2005/03/15,sosei,TKにて組成され川越車両センターに配置。
70-09,70-47,70-48,70-12,,,,,,,,,,,2005/03/29,joto,JR東日本に譲渡。
70-09,70-47,70-48,70-12,,,,,,,,,,,2005/03/29,sosei,TKにて組成され川越車両センターに配置。
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
e501-11,e501-20,,,,,,,,,,,,,2006/10/26,kaizo,トイレ設置
e501-46,,,,,,,,,,,,,,2006/11/09,kaizo,トイレ設置
e501-21,e501-30,,,,,,,,,,,,,2006/11/20,kaizo,トイレ設置
e501-31,e501-40,,,,,,,,,,,,,2006/10/03,kaizo,トイレ設置
e501-51,,,,,,,,,,,,,,2006/12/06,kaizo,トイレ設置
e501-56,,,,,,,,,,,,,,2007/01/22,kaizo,トイレ設置
e501-41,,,,,,,,,,,,,,2007/01/31,kaizo,トイレ設置
e501-01,e501-10,,,,,,,,,,,,,2007/02/21,kaizo,トイレ設置
e331-01,e331-02,e331-03,e331-04,e331-05,e331-06,e331-07,e331-08,e331-09,e331-10,e331-11,e331-12,e331-13,e331-14,2007/03/18,other,営業運転開始。土曜•休日ダイヤの95運用に限定して運行。
kh110-135,,,,,,,,,,,,,,2007/09/12,tenzoku,新津運輸区に転属
